iter	Passed	Remaining
0	152	152010
1	152	76272
2	153	50986
3	153	38345
4	154	30769
5	155	25722
6	155	22116
7	156	19416
8	157	17313
9	157	15621
10	158	14239
11	158	13085
12	159	12112
13	160	11277
14	160	10552
15	161	9916
16	161	9356
17	162	8858
18	162	8411
19	163	8012
20	164	7652
21	164	7323
22	165	7022
23	165	6745
24	166	6492
25	167	6257
26	167	6039
27	168	5839
28	168	5651
29	169	5475
30	169	5310
31	170	5156
32	171	5013
33	171	4879
34	172	4754
35	173	4635
36	173	4521
37	174	4419
38	175	4321
39	176	4224
40	176	4132
41	177	4043
42	177	3958
43	178	3876
44	179	3799
45	179	3724
46	180	3652
47	180	3584
48	181	3519
49	181	3457
50	182	3398
51	183	3340
52	183	3285
53	184	3230
54	184	3178
55	185	3127
56	186	3078
57	186	3031
58	187	2986
59	187	2943
60	188	2900
61	189	2859
62	189	2819
63	190	2780
64	190	2743
65	191	2706
66	191	2671
67	192	2637
68	192	2603
69	193	2571
70	194	2541
71	194	2511
72	195	2483
73	196	2455
74	196	2428
75	197	2402
76	198	2375
77	198	2349
78	199	2324
79	199	2299
80	200	2275
81	201	2251
82	201	2225
83	202	2203
84	202	2181
85	203	2160
86	203	2139
87	204	2118
88	205	2098
89	205	2079
90	206	2059
91	206	2040
92	207	2021
93	207	2003
94	208	1986
95	209	1968
96	209	1951
97	210	1934
98	211	1921
99	211	1906
100	212	1890
101	212	1874
102	213	1859
103	214	1844
104	214	1830
105	215	1816
106	216	1802
107	216	1789
108	217	1775
109	217	1762
110	218	1748
111	218	1735
112	219	1724
113	220	1712
114	221	1700
115	221	1688
116	222	1676
117	223	1668
118	223	1657
119	224	1645
120	225	1634
121	225	1622
122	226	1612
123	226	1601
124	227	1590
125	227	1580
126	228	1569
127	228	1559
128	229	1550
129	230	1539
130	230	1529
131	231	1520
132	231	1510
133	232	1501
134	232	1492
135	233	1483
136	234	1474
137	234	1466
138	235	1458
139	236	1450
140	236	1441
141	237	1432
142	237	1424
143	238	1416
144	238	1408
145	239	1400
146	240	1392
147	240	1384
148	241	1377
149	241	1369
150	242	1362
151	242	1354
152	243	1347
153	244	1341
154	244	1333
155	245	1326
156	245	1319
157	246	1312
158	247	1306
159	247	1300
160	248	1293
161	248	1287
162	249	1280
163	250	1274
164	250	1268
165	251	1263
166	252	1256
167	252	1251
168	253	1246
169	254	1240
170	254	1235
171	255	1231
172	256	1226
173	257	1222
174	258	1217
175	259	1214
176	260	1208
177	260	1204
178	261	1198
179	262	1193
180	262	1188
181	263	1183
182	263	1178
183	264	1173
184	265	1168
185	265	1162
186	266	1157
187	266	1152
188	267	1147
189	268	1143
190	268	1138
191	269	1133
192	270	1129
193	270	1125
194	271	1120
195	272	1116
196	272	1112
197	273	1107
198	274	1103
199	274	1099
200	275	1095
201	276	1090
202	276	1086
203	277	1083
204	278	1079
205	279	1075
206	279	1071
207	280	1068
208	281	1064
209	281	1060
210	282	1056
211	284	1056
212	285	1053
213	285	1049
214	286	1045
215	287	1042
216	287	1038
217	288	1035
218	289	1032
219	290	1028
220	290	1025
221	291	1021
222	292	1018
223	292	1014
224	293	1011
225	294	1007
226	294	1004
227	295	1001
228	296	997
229	297	994
230	297	991
231	298	988
232	299	984
233	299	981
234	300	978
235	301	974
236	301	971
237	302	967
238	302	964
239	303	961
240	304	957
241	304	954
242	305	950
243	305	947
244	306	944
245	307	941
246	307	938
247	308	935
248	309	933
249	310	930
250	310	927
251	311	924
252	312	921
253	312	918
254	313	915
255	313	912
256	314	909
257	315	906
258	315	903
259	316	900
260	316	897
261	317	894
262	318	892
263	318	889
264	319	887
265	320	884
266	321	881
267	321	878
268	322	876
269	323	873
270	323	870
271	324	867
272	324	865
273	325	862
274	326	859
275	326	856
276	327	854
277	328	852
278	328	849
279	329	846
280	330	844
281	330	841
282	331	839
283	332	837
284	333	835
285	333	833
286	334	830
287	334	828
288	335	825
289	336	823
290	336	820
291	337	818
292	338	816
293	338	813
294	339	811
295	340	809
296	340	806
297	341	804
298	342	802
299	342	800
300	343	798
301	344	796
302	345	794
303	346	792
304	346	789
305	347	787
306	347	785
307	348	783
308	349	780
309	349	778
310	350	776
311	351	774
312	351	772
313	352	769
314	353	767
315	353	765
316	354	763
317	354	760
318	355	758
319	356	756
320	356	754
321	357	752
322	358	750
323	358	748
324	359	746
325	359	744
326	360	741
327	361	739
328	361	737
329	362	735
330	362	733
331	363	730
332	363	728
333	364	726
334	365	724
335	365	722
336	366	720
337	366	718
338	367	715
339	367	714
340	368	712
341	369	710
342	369	708
343	370	706
344	370	704
345	371	702
346	372	700
347	372	698
348	373	696
349	373	694
350	374	692
351	374	690
352	375	688
353	375	686
354	376	684
355	377	682
356	377	680
357	378	678
358	378	676
359	379	674
360	380	672
361	380	671
362	381	669
363	382	667
364	382	665
365	383	663
366	383	662
367	384	660
368	385	658
